PLUS,McMullen,State,Locality,Name,Type,Found_Date,First_Ref,Latest_Ref,Cess_Date,ED_for_Size,Size_at_ED,LD_for_Size,Size_at_LD,card_image
1,2081,ME,Blue Hill,Social Library of Blue Hill,Socl,1796,,1869,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02081.gif
2,2074,ME,Belfast,Social Library,Socl,,1858,1859,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02074.gif
4,222,CA,San Jose,Young man's literary association,YMA,1856,,1858,,1858,1000,1858,1000,https://library.princeton.edu/visual_materials/mcmullen/gif/00222.gif
5,318,CT,Birmingham,Young men's institute,YMA,1857,,1858,,1857,103,1857,103,https://library.princeton.edu/visual_materials/mcmullen/gif/00318.gif
6,439,CT,Hartford,Young men's institute,YMA,1838,,1875,,1839,5620,1875,24000,https://library.princeton.edu/visual_materials/mcmullen/gif/00439.gif
8,658,CT,Waterbury,Young Men's Institute,YMA,1852,,1859,,1855,1500,1855,1500,https://library.princeton.edu/visual_materials/mcmullen/gif/00658.gif
9,734,DE,Wilmington,Wilmington Institute,YMA,,1858,,1858,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/00734.gif
10,735,DE,Wilmington,Young Men's Assoc,YMA,,1869,1870,,1869,7589,1870,7589,https://library.princeton.edu/visual_materials/mcmullen/gif/00735.gif
11,895,GA,Savannah,Young men's literary association,Young Men's,1855,,1857,,1857,431,1857,431,https://library.princeton.edu/visual_materials/mcmullen/gif/00895.gif
12,2048,ME,Augusta,Reading Room and Social Library,Socl,1817,,,1819,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02048.gif
13,2043,ME,Augusta,Augusta Union Society,Socl,1819,,,1825,1820,199,1820,199,https://library.princeton.edu/visual_materials/mcmullen/gif/02043.gif
14,2049,ME,Augusta,Town Library,Socl,1832,,1832,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02049.gif
15,2062,ME,Bangor,Social Library,Socl,,1798,1820,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02062.gif
16,2056,ME,Bangor,Bangor Social Library,Socl,1834,,1839,,1834,500,1834,500,https://library.princeton.edu/visual_materials/mcmullen/gif/02056.gif
17,2066,ME,Bath,Bath City Library,Socl,,1859,1859,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02066.gif
18,2065,ME,Bar Harbor,Bar Harbor Library,Socl,1875,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02065.gif
19,2068,ME,Bath,Patten Library Association,Socl,1847,,1884,,1858,2000,1875,2500,https://library.princeton.edu/visual_materials/mcmullen/gif/02068.gif
20,2071,ME,Belfast,Belfast Social Library Society,Socl,1800,,,1830,1800,78,1800,78,https://library.princeton.edu/visual_materials/mcmullen/gif/02071.gif
21,2082,ME,Bolster's Mills,Village Library,Socl,1859,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02082.gif
22,2083,ME,Boothbay,Boothbay Social Library,Socl,,,,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02083.gif
